level,message,time
INFO,Initial Rule added:sell 0.01 BTC on mtgox if price goes below 74.0 USD,Dec_16_10_45_51
INFO,Initial Rule added:buy 1.9 LTC on btce if price goes below 2.3 USD,Dec_16_10_45_51
INFO,Initial Rule added:sell 0.4 BTC on bitstamp if price goes above 150.4 USD,Dec_16_10_45_51
INFO,Initial Rule added:buy 0.037 BTC on mtgox if price goes above 10.0 USD,Dec_16_10_45_51
INFO,Initial Rule added:buy 0.02 BTC on mtgox if price goes above 1.0 USD,Dec_16_10_45_51
INFO,Initial Rule added:buy 0.11 BTC on btce if price goes above 10.0 USD,Dec_16_10_45_51
INFO,Initial Rule added:buy 0.001 BTC on btce if price goes above 10.0 USD,Dec_16_10_45_51
INFO,Initial Rule added:buy 0.001 LTC on btce if price goes below 50.0 USD,Dec_16_10_45_51
SEVERE,javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,Dec_16_10_45_53
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_45_53
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@2026efb8,Dec_16_10_45_59
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_45_59
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_10_45_59
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@15a8b092,Dec_16_10_45_59
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_45_59
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_10_45_59
INFO,[btce] Last price of 1 BTC: 826.0 USD,Dec_16_10_45_59
INFO,[btce] Last price of 1 LTC: 29.301 USD,Dec_16_10_46_00
INFO,[bitstamp] Last price of 1 BTC: 822.0 USD,Dec_16_10_46_00
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_10_46_00
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_10_46_00
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@128efd57,Dec_16_10_46_14
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_46_14
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_10_46_14
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@3b8c47cf,Dec_16_10_46_14
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_46_14
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_10_46_14
INFO,[btce] Last price of 1 BTC: 825.0 USD,Dec_16_10_46_14
INFO,[btce] Last price of 1 LTC: 29.301 USD,Dec_16_10_46_15
INFO,[bitstamp] Last price of 1 BTC: 819.54 USD,Dec_16_10_46_15
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_10_46_15
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_10_46_16
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@54a5dd6c,Dec_16_10_46_29
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_46_29
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_10_46_29
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@55c646a3,Dec_16_10_46_29
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_10_46_29
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_10_46_29
INFO,[btce] Last price of 1 BTC: 826.0 USD,Dec_16_10_46_29
INFO,[btce] Last price of 1 LTC: 29.399 USD,Dec_16_10_46_30
INFO,[bitstamp] Last price of 1 BTC: 820.0 USD,Dec_16_10_46_30
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_10_46_30
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_10_46_30
