level,message,time
INFO,Initial Rule added:sell 0.01 BTC on mtgox if price goes below 74.0 USD,Dec_16_12_31_06
INFO,Initial Rule added:buy 1.9 LTC on btce if price goes below 2.3 USD,Dec_16_12_31_06
INFO,Initial Rule added:sell 0.4 BTC on bitstamp if price goes above 150.4 USD,Dec_16_12_31_06
INFO,Initial Rule added:buy 0.037 BTC on mtgox if price goes above 10.0 USD,Dec_16_12_31_06
INFO,Initial Rule added:buy 0.02 BTC on mtgox if price goes above 1.0 USD,Dec_16_12_31_06
INFO,Initial Rule added:buy 0.11 BTC on btce if price goes above 10.0 USD,Dec_16_12_31_06
INFO,Initial Rule added:buy 0.001 BTC on btce if price goes above 10.0 USD,Dec_16_12_31_06
INFO,Initial Rule added:buy 0.001 LTC on btce if price goes below 50.0 USD,Dec_16_12_31_06
SEVERE,javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,Dec_16_12_31_08
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_31_08
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@31a45d1d,Dec_16_12_31_14
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_31_14
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_12_31_14
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@39e4aec9,Dec_16_12_31_14
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_31_14
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_12_31_14
INFO,[btce] Last price of 1 BTC: 822.5 USD,Dec_16_12_31_14
INFO,[btce] Last price of 1 LTC: 29.36 USD,Dec_16_12_31_15
INFO,[bitstamp] Last price of 1 BTC: 820.0 USD,Dec_16_12_31_15
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_12_31_16
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_12_31_16
