level,message,time
INFO,Initial Rule added:sell 0.01 BTC on mtgox if price goes below 74.0 USD,Dec_16_12_13_51
INFO,Initial Rule added:buy 1.9 LTC on btce if price goes below 2.3 USD,Dec_16_12_13_51
INFO,Initial Rule added:sell 0.4 BTC on bitstamp if price goes above 150.4 USD,Dec_16_12_13_51
INFO,Initial Rule added:buy 0.037 BTC on mtgox if price goes above 10.0 USD,Dec_16_12_13_51
INFO,Initial Rule added:buy 0.02 BTC on mtgox if price goes above 1.0 USD,Dec_16_12_13_51
INFO,Initial Rule added:buy 0.11 BTC on btce if price goes above 10.0 USD,Dec_16_12_13_51
INFO,Initial Rule added:buy 0.001 BTC on btce if price goes above 10.0 USD,Dec_16_12_13_51
INFO,Initial Rule added:buy 0.001 LTC on btce if price goes below 50.0 USD,Dec_16_12_13_51
SEVERE,javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,Dec_16_12_13_52
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_13_52
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@3e069390,Dec_16_12_13_58
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_13_58
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_12_13_58
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@3db64c8e,Dec_16_12_13_58
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_13_58
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_12_13_58
INFO,[btce] Last price of 1 BTC: 823.0 USD,Dec_16_12_13_58
INFO,[btce] Last price of 1 LTC: 29.348 USD,Dec_16_12_13_59
INFO,[bitstamp] Last price of 1 BTC: 819.22 USD,Dec_16_12_13_59
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_12_13_59
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_12_14_00
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@15ef19bd,Dec_16_12_14_13
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_14_13
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_12_14_13
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@9f287fc,Dec_16_12_14_13
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_12_14_13
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_12_14_13
INFO,[btce] Last price of 1 BTC: 822.97 USD,Dec_16_12_14_13
INFO,[btce] Last price of 1 LTC: 29.3 USD,Dec_16_12_14_13
INFO,[bitstamp] Last price of 1 BTC: 819.22 USD,Dec_16_12_14_14
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_12_14_14
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_12_14_14
