level,message,time
INFO,Initial Rule added:sell 0.01 BTC on mtgox if price goes below 74.0 USD,Dec_17_11_49_07
INFO,Initial Rule added:buy 1.9 LTC on btce if price goes below 2.3 USD,Dec_17_11_49_07
INFO,Initial Rule added:sell 0.4 BTC on bitstamp if price goes above 150.4 USD,Dec_17_11_49_07
INFO,Initial Rule added:buy 0.037 BTC on mtgox if price goes above 10.0 USD,Dec_17_11_49_07
INFO,Initial Rule added:buy 0.02 BTC on mtgox if price goes above 1.0 USD,Dec_17_11_49_07
INFO,Initial Rule added:buy 0.11 BTC on btce if price goes above 10.0 USD,Dec_17_11_49_07
INFO,Initial Rule added:buy 0.001 BTC on btce if price goes above 10.0 USD,Dec_17_11_49_07
INFO,Initial Rule added:buy 0.001 LTC on btce if price goes below 50.0 USD,Dec_17_11_49_07
SEVERE,The bot will not execute the query  there is no connection to mtgox,Dec_17_11_49_08
SEVERE,The bot will not execute the query  there is no connection to btce,Dec_17_11_49_09
SEVERE,The bot will not execute the query  there is no connection to Bitstamp,Dec_17_11_49_10
INFO,BitStamp  error while getting permissions: no connection,Dec_17_11_49_10
SEVERE,mtgox offline : Price checker cannot update values.,Dec_17_11_49_11
SEVERE,btce offline : Price checker cannot update values.,Dec_17_11_49_11
SEVERE,bitstamp offline : Price checker cannot update values.,Dec_17_11_49_11
