level,message,time
INFO,Initial Rule added:sell 0.01 BTC on mtgox if price goes below 74.0 USD,Dec_16_11_37_07
INFO,Initial Rule added:buy 1.9 LTC on btce if price goes below 2.3 USD,Dec_16_11_37_07
INFO,Initial Rule added:sell 0.4 BTC on bitstamp if price goes above 150.4 USD,Dec_16_11_37_07
INFO,Initial Rule added:buy 0.037 BTC on mtgox if price goes above 10.0 USD,Dec_16_11_37_07
INFO,Initial Rule added:buy 0.02 BTC on mtgox if price goes above 1.0 USD,Dec_16_11_37_07
INFO,Initial Rule added:buy 0.11 BTC on btce if price goes above 10.0 USD,Dec_16_11_37_07
INFO,Initial Rule added:buy 0.001 BTC on btce if price goes above 10.0 USD,Dec_16_11_37_07
INFO,Initial Rule added:buy 0.001 LTC on btce if price goes below 50.0 USD,Dec_16_11_37_07
SEVERE,javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,Dec_16_11_37_08
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_08
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@cf562cb,Dec_16_11_37_14
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_14
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_11_37_14
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@4870888a,Dec_16_11_37_14
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_14
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_11_37_14
INFO,[btce] Last price of 1 BTC: 811.1 USD,Dec_16_11_37_14
INFO,[btce] Last price of 1 LTC: 28.7 USD,Dec_16_11_37_14
INFO,[bitstamp] Last price of 1 BTC: 806.99 USD,Dec_16_11_37_15
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_11_37_15
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_11_37_15
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@707f1d54,Dec_16_11_37_29
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_29
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_11_37_29
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@56a9c13f,Dec_16_11_37_29
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_29
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_11_37_29
INFO,[btce] Last price of 1 BTC: 811.66 USD,Dec_16_11_37_29
INFO,[btce] Last price of 1 LTC: 28.5 USD,Dec_16_11_37_30
INFO,[bitstamp] Last price of 1 BTC: 807.0 USD,Dec_16_11_37_30
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_11_37_30
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_11_37_31
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@d2c5d0a,Dec_16_11_37_44
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_44
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_11_37_44
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@4537c278,Dec_16_11_37_44
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_44
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_11_37_44
INFO,[btce] Last price of 1 BTC: 810.42 USD,Dec_16_11_37_44
INFO,[btce] Last price of 1 LTC: 28.6 USD,Dec_16_11_37_44
INFO,[bitstamp] Last price of 1 BTC: 807.0 USD,Dec_16_11_37_45
INFO,[btce] Balance updated :Balance : 0.00315716 BTC; 0.00315716 LTC; 0.99755187 USD; ,Dec_16_11_37_45
INFO,[bitstamp] Balance updated :Balance : 1.9028E-4 BTC; 23.67 USD; ,Dec_16_11_37_45
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@5952d70d,Dec_16_11_37_59
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_59
INFO,[mtgox] Last price of 1 BTC: 0.0 USD,Dec_16_11_37_59
SEVERE,Error with MtGox Query:[Ljava.lang.StackTraceElement;@7c533fbf,Dec_16_11_37_59
SEVERE,Unexpected token END OF FILE at position 0.,Dec_16_11_37_59
INFO,[mtgox] Last price of 1 BTC: 0.0 EUR,Dec_16_11_37_59
